Feature_Name,Dataset,Source,Original_Parameter,Temporal_Resolution,Aggregation,Period,Lag_Years,Unit,Description,Reason_for_Inclusion,Availability
T2M_Annual_Mean,yearly,NASA POWER,T2M,monthly -> annual/defined calendar period,day-weighted mean,Jan-Dec,0,C,Temperature at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_Jan_Feb_Mean,yearly,NASA POWER,T2M,monthly -> annual/defined calendar period,day-weighted mean,"Jan,Feb",0,C,Temperature at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_Mar_May_Mean,yearly,NASA POWER,T2M,monthly -> annual/defined calendar period,day-weighted mean,"Mar,Apr,May",0,C,Temperature at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_Jun_Sep_Mean,yearly,NASA POWER,T2M,monthly -> annual/defined calendar period,day-weighted mean,"Jun,Jul,Aug,Sep",0,C,Temperature at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_Oct_Dec_Mean,yearly,NASA POWER,T2M,monthly -> annual/defined calendar period,day-weighted mean,"Oct,Nov,Dec",0,C,Temperature at 2 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MAX_Annual_Mean,yearly,NASA POWER,T2M_MAX,monthly -> annual/defined calendar period,day-weighted mean,Jan-Dec,0,C,Temperature at 2 m maximum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MAX_Jan_Feb_Mean,yearly,NASA POWER,T2M_MAX,monthly -> annual/defined calendar period,day-weighted mean,"Jan,Feb",0,C,Temperature at 2 m maximum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MAX_Mar_May_Mean,yearly,NASA POWER,T2M_MAX,monthly -> annual/defined calendar period,day-weighted mean,"Mar,Apr,May",0,C,Temperature at 2 m maximum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MAX_Jun_Sep_Mean,yearly,NASA POWER,T2M_MAX,monthly -> annual/defined calendar period,day-weighted mean,"Jun,Jul,Aug,Sep",0,C,Temperature at 2 m maximum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MAX_Oct_Dec_Mean,yearly,NASA POWER,T2M_MAX,monthly -> annual/defined calendar period,day-weighted mean,"Oct,Nov,Dec",0,C,Temperature at 2 m maximum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MIN_Annual_Mean,yearly,NASA POWER,T2M_MIN,monthly -> annual/defined calendar period,day-weighted mean,Jan-Dec,0,C,Temperature at 2 m minimum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MIN_Jan_Feb_Mean,yearly,NASA POWER,T2M_MIN,monthly -> annual/defined calendar period,day-weighted mean,"Jan,Feb",0,C,Temperature at 2 m minimum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MIN_Mar_May_Mean,yearly,NASA POWER,T2M_MIN,monthly -> annual/defined calendar period,day-weighted mean,"Mar,Apr,May",0,C,Temperature at 2 m minimum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MIN_Jun_Sep_Mean,yearly,NASA POWER,T2M_MIN,monthly -> annual/defined calendar period,day-weighted mean,"Jun,Jul,Aug,Sep",0,C,Temperature at 2 m minimum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
T2M_MIN_Oct_Dec_Mean,yearly,NASA POWER,T2M_MIN,monthly -> annual/defined calendar period,day-weighted mean,"Oct,Nov,Dec",0,C,Temperature at 2 m minimum,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
WS10M_Annual_Mean,yearly,NASA POWER,WS10M,monthly -> annual/defined calendar period,day-weighted mean,Jan-Dec,0,m/s,Wind speed at 10 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
WS10M_Jan_Feb_Mean,yearly,NASA POWER,WS10M,monthly -> annual/defined calendar period,day-weighted mean,"Jan,Feb",0,m/s,Wind speed at 10 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
WS10M_Mar_May_Mean,yearly,NASA POWER,WS10M,monthly -> annual/defined calendar period,day-weighted mean,"Mar,Apr,May",0,m/s,Wind speed at 10 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
WS10M_Jun_Sep_Mean,yearly,NASA POWER,WS10M,monthly -> annual/defined calendar period,day-weighted mean,"Jun,Jul,Aug,Sep",0,m/s,Wind speed at 10 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
WS10M_Oct_Dec_Mean,yearly,NASA POWER,WS10M,monthly -> annual/defined calendar period,day-weighted mean,"Oct,Nov,Dec",0,m/s,Wind speed at 10 m,"Observed NASA POWER climate covariate; contemporaneous values are flagged, not default predictors.",contemporaneous full-period information
Coconut_Productivity_DeclaredMillionUnit_per_Hectare_Lag1,dynamic,Coconut annual CSV,Production Million Unit / Area Hectare,agricultural year,ratio,full agricultural year,1,declared million unit per hectare,Historical coconut productivity at t-1.,ACF and PACF 95% confidence intervals both exclude zero.,previous agricultural year
T2M_Jun_Sep_Mean_Lag1,dynamic,NASA POWER,T2M,monthly -> annual/defined calendar period,day-weighted mean,"Jun,Jul,Aug,Sep",1,C,Temperature at 2 m shifted by 1 target year(s).,Historical lag passed the n/FDR screen and was the predeclared representative selected for its original parameter; still requires review.,previous-year information
T2M_MIN_Jun_Sep_Mean_Lag1,dynamic,NASA POWER,T2M_MIN,monthly -> annual/defined calendar period,day-weighted mean,"Jun,Jul,Aug,Sep",1,C,Temperature at 2 m minimum shifted by 1 target year(s).,Historical lag passed the n/FDR screen and was the predeclared representative selected for its original parameter; still requires review.,previous-year information
ALLSKY_SFC_SW_DWN_Jan_Feb_Total_Lag3,dynamic,NASA POWER,ALLSKY_SFC_SW_DWN,monthly -> annual/defined calendar period,sum(value × days in month),"Jan,Feb",3,MJ/m^2,All-sky surface shortwave downward irradiance shifted by 3 target year(s).,Historical lag passed the n/FDR screen and was the predeclared representative selected for its original parameter; still requires review.,previous-year information
WS10M_Mar_May_Mean_Lag1,dynamic,NASA POWER,WS10M,monthly -> annual/defined calendar period,day-weighted mean,"Mar,Apr,May",1,m/s,Wind speed at 10 m shifted by 1 target year(s).,Historical lag passed the n/FDR screen and was the predeclared representative selected for its original parameter; still requires review.,previous-year information
RH2M_Mar_May_Mean_Lag3,dynamic,NASA POWER,RH2M,monthly -> annual/defined calendar period,day-weighted mean,"Mar,Apr,May",3,%,Relative humidity at 2 m shifted by 3 target year(s).,Historical lag passed the n/FDR screen and was the predeclared representative selected for its original parameter; still requires review.,previous-year information
PRECTOTCORR_Mar_May_Total_Lag3,dynamic,NASA POWER,PRECTOTCORR,monthly -> annual/defined calendar period,sum(value × days in month),"Mar,Apr,May",3,mm,Corrected precipitation shifted by 3 target year(s).,Historical lag passed the n/FDR screen and was the predeclared representative selected for its original parameter; still requires review.,previous-year information
T2M_MAX_Jun_Sep_Mean_Lag2,dynamic,NASA POWER,T2M_MAX,monthly -> annual/defined calendar period,day-weighted mean,"Jun,Jul,Aug,Sep",2,C,Temperature at 2 m maximum shifted by 2 target year(s).,Historical lag passed the n/FDR screen and was the predeclared representative selected for its original parameter; still requires review.,previous-year information
