Target_Year,Agriculture Year,Agriculture_Year_Anchor,Coconut_Area_Hectare,Coconut_Production_MillionUnit,Coconut_Productivity_DeclaredMillionUnit_per_Hectare,Coconut_Productivity_Unit,Coconut_Productivity_Formula,ALLSKY_SFC_SW_DWN_Annual_Total,ALLSKY_SFC_SW_DWN_Jan_Feb_Total,ALLSKY_SFC_SW_DWN_Mar_May_Total,ALLSKY_SFC_SW_DWN_Jun_Sep_Total,ALLSKY_SFC_SW_DWN_Oct_Dec_Total,PRECTOTCORR_Annual_Total,PRECTOTCORR_Jan_Feb_Total,PRECTOTCORR_Mar_May_Total,PRECTOTCORR_Jun_Sep_Total,PRECTOTCORR_Oct_Dec_Total,RH2M_Annual_Mean,RH2M_Jan_Feb_Mean,RH2M_Mar_May_Mean,RH2M_Jun_Sep_Mean,RH2M_Oct_Dec_Mean,T2M_Annual_Mean,T2M_Jan_Feb_Mean,T2M_Mar_May_Mean,T2M_Jun_Sep_Mean,T2M_Oct_Dec_Mean,T2M_MAX_Annual_Mean,T2M_MAX_Jan_Feb_Mean,T2M_MAX_Mar_May_Mean,T2M_MAX_Jun_Sep_Mean,T2M_MAX_Oct_Dec_Mean,T2M_MIN_Annual_Mean,T2M_MIN_Jan_Feb_Mean,T2M_MIN_Mar_May_Mean,T2M_MIN_Jun_Sep_Mean,T2M_MIN_Oct_Dec_Mean,WS10M_Annual_Mean,WS10M_Jan_Feb_Mean,WS10M_Mar_May_Mean,WS10M_Jun_Sep_Mean,WS10M_Oct_Dec_Mean
1993,1993-94,start,882293,5192,0.005884666431672925,declared million unit per hectare,Production Million Unit / Area Hectare,6727.62,1179.6999999999998,1967.21,2069.15,1511.56,1868.6200000000001,14.0,191.37,1108.02,555.23,78.67120547945206,61.21779661016949,67.68173913043478,90.1904918032787,85.57804347826085,24.777260273972605,24.20728813559322,27.758152173913043,23.819590163934425,23.43184782608696,31.635342465753425,35.1228813559322,37.02576086956522,27.91,28.948478260869567,19.28517808219178,15.26677966101695,21.183478260869567,20.972295081967214,17.726630434782606,2.560739726027397,2.3262711864406778,2.224565217391304,3.2015573770491805,2.1975
1994,1994-95,start,910960,5336,0.005857556863089488,declared million unit per hectare,Production Million Unit / Area Hectare,6848.36,1165.6,1997.62,1954.2200000000003,1730.92,2278.86,40.82,233.31,1521.1299999999999,483.6,80.07578082191783,68.21423728813559,71.19347826086955,90.91344262295083,82.19326086956521,24.700849315068492,24.852033898305084,27.18,23.635655737704916,23.53728260869565,31.292602739726032,34.0793220338983,35.89891304347826,27.715655737704918,29.642499999999995,19.06076712328767,16.352033898305084,20.53663043478261,20.525409836065574,17.379782608695653,2.548082191780822,2.1289830508474576,2.184021739130435,3.362459016393443,2.100978260869565
1995,1995-96,start,914370,5155,0.00563776151885998,declared million unit per hectare,Production Million Unit / Area Hectare,6764.699999999999,1171.91,1914.0500000000002,1943.52,1735.2200000000003,1786.46,17.669999999999998,290.49,1239.65,238.65000000000003,77.95495890410959,62.59203389830509,68.7983695652174,90.94942622950818,79.73206521739131,24.974767123287673,25.62627118644068,27.317282608695653,23.99270491803279,23.516739130434782,31.79057534246575,34.36440677966102,36.11347826086957,28.864590163934427,29.69717391304348,19.800191780821915,16.797457627118643,21.665869565217395,21.248852459016394,17.93913043478261,2.4420000000000006,2.15,2.0859782608695654,3.176967213114754,2.010652173913044
1996,1996-97,start,902104,5276,0.005848549612904942,declared million unit per hectare,Production Million Unit / Area Hectare,6719.739999999999,1200.1399999999999,1954.9499999999998,1937.26,1627.3899999999999,1918.2199999999998,8.430000000000001,157.5,1362.6699999999998,389.62,77.29040983606558,55.638000000000005,67.38152173913043,90.35565573770491,83.99478260869564,24.9079781420765,25.622666666666664,27.602608695652176,23.81188524590164,23.200760869565215,31.897349726775957,35.33116666666667,36.80489130434783,28.828852459016392,28.819456521739134,19.363579234972676,16.4005,21.4670652173913,21.014262295081966,17.003586956521737,2.514207650273224,2.1013333333333337,2.1455434782608696,3.3888524590163938,1.9922826086956524
1997,1997-98,start,884344,5209,0.005890241806355898,declared million unit per hectare,Production Million Unit / Area Hectare,6738.67,1187.92,1964.85,1998.48,1587.42,2441.61,1.55,99.5,1815.2,525.36,78.40964383561644,63.53203389830508,65.30521739130435,89.13549180327868,86.83173913043478,25.307863013698633,24.67864406779661,27.830652173913045,24.322131147540983,24.49576086956522,31.85967123287671,33.82661016949152,36.32086956521739,29.33901639344262,29.47967391304348,20.10687671232877,16.122881355932204,20.90695652173913,21.124262295081966,20.512608695652172,2.289095890410959,1.9425423728813558,2.128478260869565,3.13155737704918,1.554782608695652
1998,1998-99,start,882288,5132,0.0058166947754021365,declared million unit per hectare,Production Million Unit / Area Hectare,6591.0199999999995,1147.4099999999999,2051.68,1880.26,1511.67,2034.06,2.24,161.26000000000002,1431.9699999999998,438.59000000000003,79.6915890410959,69.02237288135592,65.59978260869566,90.71950819672132,86.0016304347826,25.344136986301372,25.087288135593223,28.893804347826087,24.24106557377049,23.421956521739126,32.12904109589041,34.16847457627119,38.436521739130434,28.98467213114754,28.68336956521739,20.307643835616435,17.553389830508475,23.120543478260867,21.7422131147541,17.358695652173914,2.506438356164384,2.2672881355932204,2.2207608695652175,3.195737704918033,2.0314130434782607
1999,1999-00,start,925035,5680,0.006140308204554423,declared million unit per hectare,Production Million Unit / Area Hectare,6830.450000000002,1253.42,1907.34,2057.77,1611.92,1709.84,2.8000000000000003,335.93000000000006,869.52,501.59000000000003,79.13534246575342,60.2106779661017,72.53945652173914,90.2161475409836,83.17358695652173,24.7252602739726,25.096949152542372,26.957173913043476,23.851721311475412,23.413369565217387,31.52630136986301,34.43050847457627,36.86891304347826,28.141639344262295,28.809565217391306,19.632328767123287,16.942881355932204,21.2404347826087,20.89114754098361,18.07967391304348,2.489890410958904,2.0220338983050845,2.4991304347826087,3.0439344262295083,2.045978260869565
2000,2000-01,start,925783,5536,0.005979803042397624,declared million unit per hectare,Production Million Unit / Area Hectare,6723.23,1170.8899999999999,1999.98,1926.0100000000002,1626.35,1488.6299999999999,63.54,126.77,984.11,314.21000000000004,77.92601092896176,65.01916666666666,70.2188043478261,89.72229508196722,78.40782608695652,24.92306010928962,25.368333333333332,27.246956521739133,23.903032786885248,23.66141304347826,31.98887978142076,34.73,36.3820652173913,28.404836065573768,30.560760869565218,19.26590163934426,17.51033333333333,21.157391304347826,20.782950819672134,16.507608695652173,2.565273224043716,2.117166666666667,2.349456521739131,3.3255737704918036,2.065108695652174
2001,2001-02,start,905718,5479,0.006049344277137034,declared million unit per hectare,Production Million Unit / Area Hectare,6547.66,1156.8899999999999,1898.73,1901.19,1590.85,1833.1499999999999,26.85,402.07000000000005,1065.77,338.46000000000004,79.89304109589041,63.55016949152542,73.37456521739131,90.78713114754098,82.44576086956522,24.994000000000003,25.87949152542373,27.049891304347828,23.884344262295084,23.84173913043478,31.641753424657534,35.04406779661018,35.87054347826087,27.920573770491803,30.165652173913045,19.763808219178085,17.658474576271185,21.32652173913044,20.946803278688524,17.9825,2.4121095890410955,1.9386440677966104,2.1482608695652172,3.1479508196721313,2.0038043478260867
2002,2002-03,start,899198,5709,0.006348990989748643,declared million unit per hectare,Production Million Unit / Area Hectare,6748.720000000001,1166.91,1928.7200000000003,2087.1800000000003,1565.91,1661.8500000000001,6.68,256.92,899.1999999999999,499.05,77.56197260273973,61.18864406779661,67.9779347826087,89.5933606557377,81.6916304347826,25.316821917808216,25.785593220338985,27.935108695652175,24.18827868852459,23.89445652173913,32.71654794520548,35.712881355932204,38.49565217391305,28.95245901639344,30.00739130434783,19.864630136986303,16.58406779661017,21.945978260869566,20.97565573770492,18.413804347826087,2.396054794520548,2.098135593220339,2.1520652173913044,3.083032786885246,1.9201086956521736
2003,2003-04,start,898498,5876,0.006539803093607331,declared million unit per hectare,Production Million Unit / Area Hectare,6875.71,1216.19,1948.4199999999998,2073.71,1637.3899999999999,1565.42,45.919999999999995,238.95999999999998,970.93,309.61,78.17761643835615,63.27084745762712,71.99532608695652,89.72270491803279,78.60989130434783,25.453917808219177,26.13593220338983,27.614239130434786,24.387459016393446,24.270434782608696,32.22917808219178,35.410508474576275,35.741956521739134,29.18,30.71967391304348,20.30832876712329,19.243559322033896,21.93054347826087,21.349180327868854,17.988695652173913,2.2992876712328765,1.9228813559322033,1.997608695652174,2.922295081967213,2.0161956521739133
2004,2004-05,start,899267,6001,0.006673212738819505,declared million unit per hectare,Production Million Unit / Area Hectare,6743.17,1272.81,1830.42,1960.69,1679.25,2177.13,8.6,630.3800000000001,1092.56,445.59,78.62898907103826,57.257,72.80695652173912,90.93401639344263,82.07173913043478,24.99625683060109,26.15333333333333,27.22043478260869,23.846639344262293,23.541956521739127,31.931994535519127,35.68733333333333,37.20423913043478,27.842049180327866,29.634239130434786,19.64409836065574,17.739333333333335,21.410760869565216,21.000901639344264,17.320434782608697,2.4484153005464484,1.9991666666666668,2.1393478260869565,3.0487704918032787,2.2543478260869567
2005,2005-06,start,897833,6326,0.007045853738946998,declared million unit per hectare,Production Million Unit / Area Hectare,6561.92,1235.96,1887.7399999999998,1904.2499999999998,1533.97,1951.89,26.909999999999997,215.31,1194.21,515.46,79.95876712328766,61.18728813559322,71.4116304347826,90.83942622950819,86.11543478260869,25.206383561643836,25.8735593220339,27.550543478260867,24.36040983606557,23.556195652173916,31.954630136986307,35.43474576271186,36.77728260869565,28.89295081967213,28.96021739130435,19.77569863013699,17.13406779661017,21.75673913043478,21.54860655737705,17.13771739130435,2.373397260273973,1.963220338983051,1.9440217391304346,3.2840983606557375,1.8581521739130433
2006,2006-07,start,872943,6054,0.00693516071496077,declared million unit per hectare,Production Million Unit / Area Hectare,6676.22,1245.71,1877.1000000000001,1976.52,1576.89,2503.21,8.06,516.65,1527.92,450.58,79.93008219178081,61.76983050847458,71.76913043478261,90.97516393442623,85.09054347826087,24.882383561643834,24.601525423728813,27.47119565217391,24.100409836065573,23.510652173913044,31.583013698630136,33.89322033898305,37.048478260869565,28.468524590163934,28.76608695652174,19.865041095890412,15.672542372881354,21.850217391304348,20.76762295081967,19.37163043478261,2.4610136986301367,2.205254237288136,2.309891304347826,2.9873770491803278,2.0781521739130433
2007,2007-08,start,818812,5641,0.006889249302648227,declared million unit per hectare,Production Million Unit / Area Hectare,6660.93,1227.29,2018.2599999999998,1802.96,1612.4199999999998,2762.0000000000005,4.93,307.26,2000.6100000000001,449.2,79.23380821917809,61.78305084745762,70.54478260869566,91.77262295081968,82.48652173913044,24.956520547945207,24.861525423728818,27.714130434782607,24.075901639344263,23.427608695652175,31.70454794520548,34.42542372881356,36.33369565217392,28.758196721311474,29.237608695652174,19.55268493150685,16.679491525423728,22.171304347826087,20.88122950819672,17.014891304347824,2.3339178082191783,2.1466101694915256,2.0057608695652176,2.893360655737705,2.0403260869565214
2008,2008-09,start,787769,5802,0.007365103221883573,declared million unit per hectare,Production Million Unit / Area Hectare,6748.78,1225.9,1887.19,2039.2700000000002,1596.42,2087.07,15.08,430.49,1209.94,431.56,79.86330601092897,63.27333333333333,76.69141304347826,90.4489344262295,79.81728260869563,24.669918032786885,25.105166666666666,26.04478260869565,24.001065573770493,23.898152173913044,31.235901639344263,34.58283333333334,33.88065217391305,28.672377049180326,29.807826086956517,19.088989071038256,17.0735,20.273369565217394,20.930983606557376,16.77641304347826,2.2378415300546446,2.0789999999999997,2.049782608695652,2.703114754098361,1.9124999999999999
2009,2009-10,start,778618,5667,0.0072782802349804394,declared million unit per hectare,Production Million Unit / Area Hectare,6705.1900000000005,1274.27,1883.6100000000001,1948.8399999999997,1598.4700000000003,2167.11,2.79,277.99,1498.32,388.01,78.87665753424656,58.212881355932204,71.78434782608696,90.70155737704917,83.53989130434783,25.198821917808225,25.40898305084746,27.500978260869566,24.11418032786885,24.20021739130435,32.08498630136987,35.66593220338983,36.43141304347826,28.679508196721315,29.95804347826087,19.79509589041096,16.683898305084746,21.95304347826087,20.559016393442622,18.61934782608696,2.332767123287671,2.0422033898305085,2.009673913043478,3.017131147540984,1.9346739130434785
2010,2010-11,start,770473,5287,0.006862018526281907,declared million unit per hectare,Production Million Unit / Area Hectare,6475.5199999999995,1212.52,1933.21,1889.6,1440.19,2348.81,5.86,278.08000000000004,1418.09,646.78,80.80479452054794,63.73101694915255,71.89260869565217,90.66188524590164,87.59510869565217,25.226,25.93135593220339,27.930326086956523,24.118688524590166,23.53771739130435,32.02175342465753,35.32,36.4454347826087,29.70991803278689,28.54858695652174,20.332876712328765,17.64101694915254,22.45054347826087,20.977622950819672,19.086521739130436,2.2386575342465758,1.8630508474576268,2.076195652173913,2.8062295081967212,1.8893478260869565
2011,2011-12,start,820867,5941,0.007237469650990964,declared million unit per hectare,Production Million Unit / Area Hectare,6668.24,1202.87,1986.43,1843.22,1635.7199999999998,2049.46,45.79,262.6,1376.09,364.97999999999996,80.00038356164383,69.40033898305084,71.05347826086957,90.66344262295083,81.605,24.695369863013703,24.14864406779661,27.075326086956526,23.896229508196722,23.725760869565217,31.33479452054794,33.09779661016949,35.966521739130435,27.988278688524588,30.010217391304348,19.15953424657534,16.268135593220343,21.010652173913044,20.551721311475408,17.316521739130437,2.395808219178082,1.999830508474576,2.126304347826087,2.990491803278689,2.130652173913043
2012,2012-13,start,798162,5799,0.007265442353807873,declared million unit per hectare,Production Million Unit / Area Hectare,6803.419999999999,1267.38,1869.9899999999998,1990.5500000000002,1675.5,1462.5199999999998,6.6899999999999995,207.41000000000003,949.57,298.85,77.36437158469947,58.856833333333334,72.28423913043478,89.48721311475408,78.43869565217392,25.28049180327869,25.51383333333333,27.29217391304348,24.167377049180327,24.59271739130435,32.212759562841526,35.14416666666666,35.912608695652175,28.989262295081968,30.875760869565216,19.8551912568306,16.520333333333333,22.041304347826088,20.979016393442624,18.35369565217391,2.301475409836066,1.9273333333333331,2.2054347826086955,2.891803278688524,1.858695652173913
2013,2013-14,start,808647,5921,0.00732210717408214,declared million unit per hectare,Production Million Unit / Area Hectare,6521.9800000000005,1227.13,1876.6599999999999,1785.2,1632.9900000000002,2113.13,44.3,169.87,1580.61,318.34999999999997,78.04917808219179,59.52271186440678,68.38021739130434,91.20352459016392,82.1554347826087,25.298684931506852,26.260338983050847,27.96478260869565,23.850409836065573,23.93641304347826,31.958027397260274,35.094406779661014,37.19760869565217,28.28016393442623,29.58423913043478,20.001041095890407,17.939322033898303,21.243695652173916,21.14114754098361,18.56869565217391,2.5124383561643837,2.0206779661016947,2.4195652173913045,3.238770491803279,1.9575
2014,2014-15,start,793856,5947,0.007491283053853596,declared million unit per hectare,Production Million Unit / Area Hectare,6600.630000000001,1194.19,1926.1,1984.1,1496.2400000000002,2230.6500000000005,2.5500000000000003,331.53000000000003,1498.1100000000001,398.46,78.47164383561643,60.54542372881357,69.10391304347827,90.92270491803279,82.82434782608696,25.396712328767123,25.909830508474574,27.695434782608697,24.41672131147541,24.06847826086957,31.89739726027397,34.633220338983044,36.757173913043474,28.78934426229508,29.404673913043478,20.20249315068493,18.314067796610168,21.666847826086954,21.468688524590167,18.270108695652173,2.296767123287671,2.1830508474576273,1.9640217391304347,2.93172131147541,1.8604347826086955
2015,2015-16,start,790223,5873,0.007432079299134548,declared million unit per hectare,Production Million Unit / Area Hectare,6741.570000000001,1224.5700000000002,1849.34,2133.46,1534.1999999999998,1431.28,1.1800000000000002,320.23,737.37,372.50000000000006,78.71394520547945,60.99999999999999,73.49891304347827,88.41991803278688,82.41804347826088,25.455287671232877,25.446440677966105,27.142934782608698,24.80622950819672,24.634021739130436,32.1671506849315,34.41966101694915,35.309021739130436,29.756967213114752,30.77684782608696,20.043589041095892,17.25593220338983,21.54173913043478,21.243360655737707,18.742173913043477,2.146301369863014,2.0901694915254234,1.748260869565217,2.6914754098360656,1.857391304347826
2016,2016-17,start,781496,5384,0.006889350681257486,declared million unit per hectare,Production Million Unit / Area Hectare,6703.510000000001,1192.8000000000002,1931.38,1973.4700000000003,1605.8600000000001,1221.3700000000001,14.530000000000001,172.43,859.51,174.9,76.00401639344263,61.95666666666666,68.83347826086955,89.73491803278688,74.1275,25.91426229508197,26.217333333333332,28.77510869565217,24.242622950819673,25.0725,33.22428961748634,36.091,37.94782608695652,28.43950819672131,32.97619565217392,20.298142076502735,16.942999999999998,23.511413043478257,20.63565573770492,18.825434782608696,2.3787158469945355,2.0271666666666666,2.212608695652174,3.0361475409836065,1.9022826086956521
2017,2017-18,start,760443,5230,0.006877570047985187,declared million unit per hectare,Production Million Unit / Area Hectare,6712.99,1223.79,1933.35,1975.21,1580.6399999999999,1802.9199999999998,19.5,312.49,1179.92,291.01,78.77668493150685,56.788305084745765,73.12282608695652,90.39434426229509,83.12576086956521,25.402164383561647,25.86271186440678,27.464891304347827,24.520655737704914,24.213043478260875,32.12441095890411,35.73881355932204,36.51619565217391,29.046311475409833,29.496521739130433,20.148876712328764,17.49423728813559,21.713478260869564,21.225491803278686,18.859021739130434,2.242191780821918,2.198983050847458,2.104891304347826,2.6904918032786886,1.8127173913043477
2018,2018-19,start,760946,5299,0.0069637004465494265,declared million unit per hectare,Production Million Unit / Area Hectare,6661.460000000001,1223.08,1906.46,1945.62,1586.3000000000002,2214.5700000000006,12.5,378.47,1480.28,343.32,78.69402739726026,60.881186440677965,72.68032608695653,90.37073770491804,80.64684782608695,25.345342465753422,25.477118644067797,27.41304347826087,24.169754098360652,24.752065217391305,31.956027397260275,35.154576271186436,35.733369565217394,28.64286885245901,30.52097826086957,19.895780821917803,17.333898305084745,21.69728260869565,20.58606557377049,18.82184782608696,2.2403835616438355,1.9454237288135594,1.8931521739130437,3.0519672131147537,1.7005434782608695
2019,2019-20,start,760776,4814,0.006327749560974584,declared million unit per hectare,Production Million Unit / Area Hectare,6779.329999999999,1219.5900000000001,2050.3,1926.5000000000002,1582.94,2146.92,8.96,177.41,1397.0,563.55,77.62819178082192,57.52,67.00652173913043,89.02852459016393,86.0275,25.897068493150687,25.996440677966103,28.703043478260874,24.806803278688523,24.47315217391304,32.83715068493151,35.54440677966102,38.12206521739131,29.956393442622954,29.63619565217391,20.834191780821918,17.526779661016953,22.571304347826093,21.61467213114754,20.183152173913047,2.3240821917808216,2.1620338983050846,2.0845652173913045,2.8263114754098364,2.0015217391304345
2020,2020-21,start,768809,4788,0.006227814710805935,declared million unit per hectare,Production Million Unit / Area Hectare,6731.1,1269.42,1966.9100000000003,1922.18,1572.59,1970.96,13.45,195.14,1392.76,369.61,79.15893442622952,64.81166666666667,69.24619565217391,90.0416393442623,83.99717391304348,25.69325136612022,26.19,28.48630434782609,24.441639344262295,24.235978260869565,32.52956284153005,35.124500000000005,37.81369565217391,29.22467213114754,29.93565217391304,20.629125683060106,18.285999999999998,23.01076086956522,21.563688524590162,18.53630434782609,2.244808743169399,2.0296666666666665,1.9356521739130437,2.7129508196721313,2.073478260869565
