Feature,Lag_Years,Convention,Paired_Sample_Size,Temporal_Availability,Pearson_Correlation,Pearson_PValue,Spearman_Correlation,Spearman_PValue,FDR_PValue,Candidate_Lag,Selection_Rule,Original_Parameter,Dynamic_Selected,Dynamic_Selection_Rule
ALLSKY_SFC_SW_DWN_Oct_Dec_Total,3,ALLSKY_SFC_SW_DWN_Oct_Dec_Total(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),35,previous-year information,-0.4392540869254329,0.008290997809847933,-0.4126050420168067,0.013770015934038597,0.03348287577053973,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
WS10M_Annual_Mean,3,WS10M_Annual_Mean(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,-0.40147567131250095,0.012479293289733687,-0.4520188204398731,0.00438559531485515,0.04853058501563101,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",WS10M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Mar_May_Total,1,ALLSKY_SFC_SW_DWN_Mar_May_Total(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),37,previous-year information,-0.40466557362366185,0.012980923691141283,-0.4049312470365102,0.01291593927364573,0.04867846384177981,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
RH2M_Mar_May_Mean,1,RH2M_Mar_May_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.3852783659825549,0.014086389957424884,0.4118198874296436,0.00828342243845397,0.05100244639757285,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",RH2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_MIN_Jun_Sep_Mean,3,T2M_MIN_Jun_Sep_Mean(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,0.3828164056924702,0.01768423926972107,0.276288434183171,0.09312770552066622,0.06189483744402374,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M_MIN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
WS10M_Jun_Sep_Mean,3,WS10M_Jun_Sep_Mean(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,-0.3780407655292096,0.019276338608588087,-0.41065762118393695,0.010437637850301858,0.06343292991610348,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",WS10M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
PRECTOTCORR_Mar_May_Total,1,PRECTOTCORR_Mar_May_Total(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.3684073203566364,0.01933194054586011,0.377110694183865,0.016451645965631586,0.06343292991610348,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",PRECTOTCORR,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
WS10M_Annual_Mean,2,WS10M_Annual_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,-0.36752916148758474,0.021348792536977603,-0.4267206477732794,0.006747432032694107,0.06792797625401965,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",WS10M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_MAX_Jun_Sep_Mean,1,T2M_MAX_Jun_Sep_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.3585959255121548,0.023074430880980733,0.2938086303939963,0.06574860116983883,0.07125927183832285,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M_MAX,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_MIN_Annual_Mean,2,T2M_MIN_Annual_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.35506120565873245,0.02655196649348376,0.3649797570850203,0.02233707035307569,0.07965589948045129,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M_MIN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
RH2M_Mar_May_Mean,2,RH2M_Mar_May_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.3398305953533861,0.034290365903584696,0.3435222672064777,0.03226320276701003,0.09948589697701155,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",RH2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Mar_May_Total,2,ALLSKY_SFC_SW_DWN_Mar_May_Total(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),36,previous-year information,-0.352364065653881,0.03505693512523264,-0.3742599742599743,0.02452913469766856,0.09948589697701155,True,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
PRECTOTCORR_Oct_Dec_Total,1,PRECTOTCORR_Oct_Dec_Total(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.3302286290601258,0.03742444652848109,0.2577861163227017,0.10828305710602247,0.10340965488132933,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",PRECTOTCORR,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
PRECTOTCORR_Mar_May_Total,2,PRECTOTCORR_Mar_May_Total(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.3272024259962379,0.04202766048459057,0.297165991902834,0.06618477221254052,0.11110735586694236,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",PRECTOTCORR,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_Annual_Mean,2,T2M_Annual_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.32675381842715334,0.04232661175883518,0.2607287449392713,0.10890334834017504,0.11110735586694236,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
PRECTOTCORR_Oct_Dec_Total,2,PRECTOTCORR_Oct_Dec_Total(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.3093631100258701,0.05531136610520327,0.2562753036437247,0.11530348106470135,0.1394739338114985,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",PRECTOTCORR,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
RH2M_Jun_Sep_Mean,1,RH2M_Jun_Sep_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.30484503115313194,0.05578957352459941,0.2838649155722327,0.07588026107937416,0.1394739338114985,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",RH2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
PRECTOTCORR_Oct_Dec_Total,3,PRECTOTCORR_Oct_Dec_Total(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,0.30849713282346536,0.05950676475165636,0.2990480358901412,0.0681724476007028,0.1453072162540446,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",PRECTOTCORR,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
RH2M_Annual_Mean,2,RH2M_Annual_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.30165810984038716,0.06199918144562361,0.3,0.06351898530892273,0.14795259208614725,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",RH2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
RH2M_Jun_Sep_Mean,3,RH2M_Jun_Sep_Mean(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,0.30052883953557524,0.06675237828294064,0.1705875916402232,0.3058472959230628,0.1557555493268615,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",RH2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_MIN_Annual_Mean,1,T2M_MIN_Annual_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.29027091178039227,0.06922270660495279,0.2915572232645404,0.06794316234278668,0.15800835203304442,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M_MIN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_MAX_Jun_Sep_Mean,3,T2M_MAX_Jun_Sep_Mean(t-3) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),38,previous-year information,0.2882133903863737,0.07929914194521696,0.26928547981179557,0.10207112722729737,0.17715765753718682,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M_MAX,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_Annual_Mean,1,T2M_Annual_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.271113290148703,0.09061627725674468,0.23339587242026272,0.14721980660744266,0.198223106499129,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
RH2M_Oct_Dec_Mean,1,RH2M_Oct_Dec_Mean(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.2680238431870122,0.09449874601799078,0.20844277673545966,0.1967951216129184,0.20249731289569453,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",RH2M,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
T2M_MIN_Oct_Dec_Mean,2,T2M_MIN_Oct_Dec_Mean(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),39,previous-year information,0.2577962970072986,0.11308651974562764,0.2589068825910931,0.111488208729451,0.23748169146581805,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",T2M_MIN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
PRECTOTCORR_Annual_Total,1,PRECTOTCORR_Annual_Total(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),40,previous-year information,0.2524623334425488,0.11602932371807534,0.2611632270168856,0.103576966662933,0.23888390177250804,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",PRECTOTCORR,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Jun_Sep_Total,1,ALLSKY_SFC_SW_DWN_Jun_Sep_Total(t-1) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),37,previous-year information,-0.2602301160252942,0.11982094401602801,-0.24703651019440492,0.14046938451178292,0.24194613695544118,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
ALLSKY_SFC_SW_DWN_Jun_Sep_Total,2,ALLSKY_SFC_SW_DWN_Jun_Sep_Total(t-2) -> Coconut_Productivity_DeclaredMillionUnit_per_Hectare(t),36,previous-year information,-0.24965291150788796,0.1419902465787117,-0.24555984555984559,0.1488594813556354,0.2813014319012213,False,"Lag > 0, paired n >= 30, and Benjamini-Hochberg FDR-adjusted Pearson p < 0.1; requires review for temporal/agricultural plausibility.",ALLSKY_SFC_SW_DWN,False,"Among screened candidates: lowest FDR/p-value lag per original NASA parameter, capped at 7; not a final predictor decision."
